iter	Passed	Remaining
0	170	170438
1	172	86104
2	175	58386
3	179	44645
4	181	36092
5	183	30356
6	185	26282
7	186	23167
8	188	20763
9	190	18849
10	192	17273
11	194	15975
12	195	14853
13	197	13886
14	199	13070
15	200	12355
16	202	11729
17	204	11164
18	207	10710
19	209	10246
20	210	9827
21	212	9459
22	214	9117
23	216	8809
24	218	8512
25	220	8248
26	221	7995
27	223	7759
28	225	7539
29	227	7351
30	228	7157
31	230	6980
32	232	6818
33	234	6661
34	236	6508
35	237	6360
36	239	6236
37	241	6109
38	243	5987
39	244	5869
40	246	5763
41	248	5658
42	249	5560
43	251	5465
44	253	5376
45	254	5287
46	257	5224
47	261	5177
48	263	5108
49	265	5042
50	267	4973
51	269	4918
52	271	4856
53	273	4791
54	275	4728
55	277	4678
56	279	4622
57	281	4566
58	283	4526
59	285	4477
60	288	4435
61	290	4401
62	292	4352
63	294	4309
64	297	4275
65	299	4237
66	301	4199
67	304	4167
68	305	4127
69	307	4087
70	310	4057
71	312	4022
72	315	4002
73	317	3974
74	319	3939
75	321	3904
76	323	3878
77	325	3845
78	326	3811
79	329	3790
80	331	3760
81	333	3729
82	334	3700
83	336	3673
84	338	3644
85	340	3615
86	342	3591
87	344	3566
88	345	3540
89	347	3513
90	349	3490
91	351	3465
92	352	3441
93	354	3420
94	356	3400
95	358	3377
96	360	3354
97	362	3334
98	363	3311
99	365	3291
100	367	3270
101	369	3254
102	371	3237
103	373	3221
104	376	3208
105	378	3189
106	380	3171
107	382	3159
108	384	3142
109	386	3123
110	387	3106
111	390	3092
112	391	3074
113	393	3056
114	395	3043
115	397	3027
116	398	3010
117	400	2993
118	403	2987
119	405	2972
120	407	2957
121	409	2945
122	411	2930
123	412	2915
124	414	2899
125	416	2885
126	418	2873
127	419	2858
128	421	2845
129	422	2830
130	424	2816
131	426	2801
132	427	2787
133	429	2773
134	430	2759
135	432	2745
136	433	2732
137	435	2720
138	437	2708
139	438	2696
140	440	2683
141	442	2671
142	443	2660
143	445	2648
144	448	2645
145	450	2634
146	452	2624
147	454	2613
148	456	2604
149	458	2595
150	459	2585
151	462	2580
152	464	2571
153	466	2561
154	468	2554
155	470	2543
156	471	2533
157	473	2522
158	475	2514
159	477	2504
160	478	2494
161	480	2485
162	482	2477
163	484	2467
164	485	2458
165	487	2450
166	489	2441
167	491	2435
168	493	2427
169	495	2420
170	497	2412
171	499	2402
172	501	2396
173	503	2388
174	505	2381
175	507	2375
176	509	2368
177	511	2360
178	513	2352
179	515	2347
180	516	2339
181	518	2330
182	520	2323
183	522	2317
184	524	2311
185	526	2303
186	528	2296
187	529	2287
188	531	2279
189	532	2271
190	534	2264
191	536	2257
192	538	2249
193	539	2242
194	541	2237
195	543	2230
196	545	2221
197	546	2215
198	548	2208
199	550	2201
200	551	2193
201	553	2187
202	555	2180
203	556	2172
204	558	2164
205	560	2159
206	561	2152
207	563	2145
208	564	2137
209	566	2132
210	568	2126
211	570	2120
212	572	2115
213	574	2111
214	576	2105
215	578	2097
216	580	2094
217	582	2088
218	583	2082
219	585	2076
220	587	2071
221	589	2065
222	590	2057
223	592	2053
224	594	2046
225	595	2040
226	597	2033
227	599	2029
228	600	2023
229	602	2017
230	604	2011
231	606	2007
232	607	2000
233	609	1996
234	611	1991
235	613	1986
236	615	1980
237	616	1975
238	618	1969
239	620	1963
240	621	1958
241	624	1956
242	626	1950
243	627	1945
244	629	1939
245	631	1934
246	633	1930
247	634	1924
248	636	1919
249	638	1916
250	640	1912
251	642	1906
252	644	1902
253	646	1897
254	647	1892
255	649	1887
256	651	1882
257	653	1878
258	655	1874
259	656	1868
260	658	1863
261	659	1858
262	661	1852
263	662	1847
264	664	1843
265	666	1838
266	668	1833
267	669	1829
268	671	1825
269	673	1820
270	674	1815
271	676	1811
272	678	1806
273	680	1801
274	681	1797
275	683	1793
276	685	1789
277	687	1785
278	688	1780
279	690	1776
280	692	1772
281	694	1768
282	697	1766
283	698	1762
284	700	1758
285	702	1754
286	704	1750
287	706	1745
288	707	1741
289	710	1738
290	711	1734
291	713	1729
292	714	1725
293	716	1721
294	718	1717
295	720	1712
296	721	1708
297	723	1704
298	725	1699
299	726	1695
300	728	1690
301	730	1687
302	731	1683
303	733	1678
304	734	1674
305	736	1670
306	738	1666
307	739	1662
308	741	1658
309	743	1654
310	745	1650
311	746	1646
312	748	1642
313	750	1638
314	751	1634
315	753	1630
316	755	1626
317	756	1623
318	758	1619
319	760	1615
320	762	1612
321	763	1608
322	765	1604
323	766	1600
324	768	1597
325	770	1593
326	772	1590
327	774	1587
328	776	1584
329	778	1580
330	779	1576
331	781	1573
332	783	1570
333	785	1566
334	788	1565
335	790	1562
336	792	1559
337	794	1556
338	796	1553
339	798	1549
340	800	1546
341	801	1542
342	803	1538
343	804	1534
344	806	1531
345	808	1527
346	809	1524
347	811	1520
348	813	1517
349	815	1513
350	816	1510
351	818	1506
352	820	1503
353	822	1500
354	823	1496
355	825	1492
356	827	1489
357	828	1486
358	830	1482
359	831	1478
360	833	1475
361	835	1471
362	836	1468
363	838	1464
364	839	1461
365	841	1457
366	843	1454
367	844	1450
368	846	1447
369	847	1443
370	849	1440
371	851	1436
372	853	1433
373	854	1430
374	856	1427
375	857	1423
376	859	1420
377	861	1417
378	863	1414
379	864	1410
380	866	1407
381	868	1404
382	869	1400
383	871	1397
384	873	1394
385	874	1391
386	876	1387
387	877	1384
388	879	1381
389	881	1378
390	882	1375
391	884	1371
392	887	1370
393	889	1368
394	891	1365
395	893	1363
396	895	1360
397	897	1357
398	900	1355
399	902	1353
400	903	1349
401	905	1347
402	907	1344
403	909	1341
404	911	1339
405	913	1336
406	914	1333
407	916	1329
408	918	1326
409	920	1323
410	921	1320
411	923	1317
412	924	1314
413	926	1311
414	928	1308
415	929	1304
416	931	1302
417	933	1299
418	934	1295
419	936	1292
420	937	1289
421	939	1286
422	941	1283
423	942	1280
424	944	1278
425	946	1275
426	948	1272
427	949	1269
428	951	1266
429	953	1263
430	954	1260
431	956	1257
432	958	1255
433	960	1252
434	961	1248
435	963	1245
436	965	1243
437	966	1240
438	968	1237
439	969	1234
440	971	1231
441	973	1228
442	975	1226
443	977	1223
444	978	1220
445	980	1217
446	981	1214
447	983	1211
448	985	1208
449	986	1205
450	988	1202
451	989	1199
452	991	1197
453	992	1194
454	994	1191
455	996	1188
456	997	1185
457	999	1182
458	1000	1179
459	1002	1176
460	1004	1174
461	1005	1171
462	1007	1168
463	1008	1165
464	1010	1163
465	1012	1160
466	1014	1158
467	1016	1155
468	1018	1153
469	1020	1150
470	1022	1148
471	1024	1146
472	1026	1144
473	1028	1141
474	1031	1139
475	1033	1137
476	1034	1134
477	1037	1132
478	1039	1130
479	1040	1127
480	1043	1125
481	1044	1122
482	1046	1120
483	1048	1117
484	1050	1115
485	1052	1112
486	1054	1110
487	1056	1108
488	1058	1105
489	1060	1103
490	1062	1101
491	1064	1099
492	1066	1096
493	1068	1094
494	1070	1092
495	1072	1090
496	1075	1088
497	1077	1085
498	1078	1083
499	1080	1080
500	1082	1078
501	1084	1075
502	1085	1072
503	1087	1070
504	1089	1067
505	1090	1064
506	1092	1061
507	1093	1059
508	1095	1057
509	1097	1054
510	1099	1052
511	1101	1049
512	1103	1047
513	1104	1044
514	1106	1042
515	1108	1039
516	1110	1037
517	1111	1034
518	1113	1031
519	1115	1029
520	1116	1026
521	1118	1023
522	1119	1021
523	1121	1018
524	1123	1016
525	1125	1013
526	1126	1011
527	1128	1009
528	1130	1006
529	1132	1004
530	1134	1002
531	1136	999
532	1138	997
533	1139	994
534	1141	992
535	1143	990
536	1145	987
537	1147	985
538	1149	982
539	1150	980
540	1152	977
541	1154	975
542	1156	973
543	1157	970
544	1159	968
545	1162	966
546	1164	964
547	1167	962
548	1168	960
549	1170	957
550	1172	955
551	1174	953
552	1176	950
553	1177	948
554	1179	945
555	1181	943
556	1183	941
557	1185	939
558	1187	937
559	1189	934
560	1191	932
561	1193	929
562	1195	927
563	1197	925
564	1199	923
565	1201	921
566	1203	918
567	1204	916
568	1206	914
569	1208	911
570	1210	909
571	1211	906
572	1213	904
573	1215	902
574	1217	899
575	1218	897
576	1220	894
577	1222	892
578	1224	890
579	1226	888
580	1228	885
581	1230	883
582	1232	881
583	1233	879
584	1235	876
585	1238	874
586	1240	872
587	1242	870
588	1244	868
589	1246	865
590	1247	863
591	1249	861
592	1251	859
593	1253	857
594	1256	854
595	1258	852
596	1260	850
597	1261	848
598	1263	845
599	1265	843
600	1267	841
601	1269	839
602	1272	837
603	1274	835
604	1275	833
605	1278	831
606	1280	828
607	1281	826
608	1283	823
609	1285	822
610	1287	819
611	1289	817
612	1291	815
613	1293	813
614	1295	810
615	1297	808
616	1299	806
617	1300	804
618	1302	801
619	1304	799
620	1305	796
621	1307	794
622	1308	792
623	1310	789
624	1312	787
625	1313	784
626	1315	782
627	1317	780
628	1319	778
629	1320	775
630	1322	773
631	1324	770
632	1325	768
633	1327	766
634	1328	763
635	1330	761
636	1333	759
637	1334	757
638	1336	754
639	1338	752
640	1339	750
641	1341	747
642	1342	745
643	1344	743
644	1346	740
645	1347	738
646	1349	736
647	1351	733
648	1352	731
649	1354	729
650	1355	726
651	1358	724
652	1360	722
653	1361	720
654	1363	718
655	1365	716
656	1367	713
657	1368	711
658	1371	709
659	1372	707
660	1374	704
661	1376	702
662	1378	700
663	1380	698
664	1381	696
665	1383	694
666	1385	691
667	1387	689
668	1388	687
669	1390	684
670	1392	682
671	1393	680
672	1395	678
673	1397	675
674	1398	673
675	1400	671
676	1402	668
677	1403	666
678	1405	664
679	1407	662
680	1408	659
681	1410	657
682	1412	655
683	1414	653
684	1416	651
685	1417	648
686	1419	646
687	1420	644
688	1422	642
689	1424	639
690	1426	637
691	1428	635
692	1429	633
693	1431	631
694	1433	628
695	1434	626
696	1436	624
697	1438	622
698	1440	620
699	1442	618
700	1443	615
701	1445	613
702	1447	611
703	1449	609
704	1451	607
705	1452	604
706	1455	602
707	1457	600
708	1458	598
709	1460	596
710	1462	594
711	1464	592
712	1465	589
713	1467	587
714	1469	585
715	1470	583
716	1472	581
717	1474	579
718	1476	576
719	1478	574
720	1479	572
721	1481	570
722	1483	568
723	1484	566
724	1486	563
725	1488	561
726	1490	559
727	1491	557
728	1493	555
729	1494	552
730	1496	550
731	1498	548
732	1499	546
733	1501	544
734	1503	541
735	1504	539
736	1506	537
737	1507	535
738	1509	533
739	1510	530
740	1512	528
741	1514	526
742	1515	524
743	1517	522
744	1518	519
745	1520	517
746	1522	515
747	1523	513
748	1525	511
749	1527	509
750	1528	506
751	1530	504
752	1532	502
753	1534	500
754	1536	498
755	1537	496
756	1539	494
757	1541	492
758	1542	489
759	1544	487
760	1545	485
761	1547	483
762	1549	481
763	1550	479
764	1552	476
765	1554	474
766	1555	472
767	1557	470
768	1559	468
769	1561	466
770	1563	464
771	1564	462
772	1566	460
773	1568	458
774	1570	456
775	1573	454
776	1574	451
777	1576	449
778	1578	447
779	1580	445
780	1581	443
781	1583	441
782	1585	439
783	1586	437
784	1588	435
785	1590	432
786	1592	430
787	1593	428
788	1595	426
789	1597	424
790	1599	422
791	1601	420
792	1602	418
793	1604	416
794	1607	414
795	1608	412
796	1610	410
797	1612	408
798	1614	406
799	1615	403
800	1617	401
801	1619	399
802	1621	397
803	1623	395
804	1626	393
805	1628	391
806	1630	389
807	1633	388
808	1635	386
809	1638	384
810	1640	382
811	1642	380
812	1644	378
813	1646	376
814	1648	374
815	1651	372
816	1653	370
817	1655	368
818	1658	366
819	1660	364
820	1662	362
821	1664	360
822	1666	358
823	1668	356
824	1669	354
825	1671	352
826	1673	350
827	1675	348
828	1677	345
829	1678	343
830	1680	341
831	1681	339
832	1683	337
833	1685	335
834	1686	333
835	1688	331
836	1690	329
837	1692	327
838	1694	325
839	1695	322
840	1697	320
841	1699	318
842	1701	316
843	1702	314
844	1704	312
845	1706	310
846	1707	308
847	1709	306
848	1711	304
849	1712	302
850	1714	300
851	1715	298
852	1717	295
853	1719	293
854	1720	291
855	1722	289
856	1724	287
857	1726	285
858	1727	283
859	1729	281
860	1731	279
861	1732	277
862	1734	275
863	1736	273
864	1737	271
865	1739	269
866	1740	267
867	1742	265
868	1744	262
869	1745	260
870	1746	258
871	1748	256
872	1750	254
873	1752	252
874	1753	250
875	1755	248
876	1756	246
877	1758	244
878	1759	242
879	1761	240
880	1762	238
881	1764	236
882	1765	233
883	1767	231
884	1768	229
885	1770	227
886	1771	225
887	1773	223
888	1774	221
889	1776	219
890	1777	217
891	1779	215
892	1780	213
893	1782	211
894	1783	209
895	1785	207
896	1786	205
897	1787	203
898	1789	201
899	1791	199
900	1792	196
901	1794	194
902	1796	192
903	1797	190
904	1798	188
905	1800	186
906	1802	184
907	1803	182
908	1804	180
909	1806	178
910	1807	176
911	1809	174
912	1810	172
913	1812	170
914	1813	168
915	1814	166
916	1816	164
917	1817	162
918	1819	160
919	1820	158
920	1821	156
921	1823	154
922	1825	152
923	1826	150
924	1828	148
925	1830	146
926	1831	144
927	1833	142
928	1834	140
929	1836	138
930	1838	136
931	1839	134
932	1841	132
933	1843	130
934	1844	128
935	1846	126
936	1847	124
937	1849	122
938	1851	120
939	1852	118
940	1854	116
941	1856	114
942	1857	112
943	1858	110
944	1860	108
945	1861	106
946	1863	104
947	1865	102
948	1866	100
949	1869	98
950	1870	96
951	1872	94
952	1873	92
953	1875	90
954	1876	88
955	1878	86
956	1880	84
957	1882	82
958	1884	80
959	1885	78
960	1887	76
961	1889	74
962	1890	72
963	1892	70
964	1894	68
965	1895	66
966	1897	64
967	1898	62
968	1900	60
969	1902	58
970	1903	56
971	1905	54
972	1906	52
973	1908	50
974	1910	48
975	1912	47
976	1913	45
977	1915	43
978	1916	41
979	1932	39
980	1935	37
981	1938	35
982	1943	33
983	1946	31
984	1950	29
985	1952	27
986	1956	25
987	1959	23
988	1962	21
989	1964	19
990	1966	17
991	1967	15
992	1969	13
993	1971	11
994	1974	9
995	1977	7
996	1979	5
997	1981	3
998	1983	1
999	1985	0
